"","City","Date","AQI"
"124","Chennai",2020 Jan,87.5161290322581
"125","Chennai",2020 Feb,78.1379310344828
"126","Chennai",2020 Mar,70.2903225806452
"127","Chennai",2020 Apr,63.5
"128","Chennai",2020 May,78.6774193548387
"129","Chennai",2020 Jun,103.066666666667
"130","Chennai",2020 Jul,92
"131","Delhi",2015 Jan,342.290322580645
"132","Delhi",2015 Feb,327.928571428571
"133","Delhi",2015 Mar,256.064516129032
"134","Delhi",2015 Apr,305.266666666667
"135","Delhi",2015 May,348.58064516129
"136","Delhi",2015 Jun,258.333333333333
"137","Delhi",2015 Jul,200.290322580645
"138","Delhi",2015 Aug,218.064516129032
"139","Delhi",2015 Sep,225.3
"140","Delhi",2015 Oct,325
"141","Delhi",2015 Nov,405.033333333333
"142","Delhi",2015 Dec,355.322580645161
"143","Delhi",2016 Jan,441.903225806452
"144","Delhi",2016 Feb,312.448275862069
"145","Delhi",2016 Mar,230.096774193548
"146","Delhi",2016 Apr,290.666666666667
"147","Delhi",2016 May,268.354838709677
"148","Delhi",2016 Jun,243.733333333333
"149","Delhi",2016 Jul,164.903225806452
"150","Delhi",2016 Aug,147.41935483871
"151","Delhi",2016 Sep,218.7
"152","Delhi",2016 Oct,411.064516129032
"153","Delhi",2016 Nov,474.833333333333
"154","Delhi",2016 Dec,409.290322580645
"155","Delhi",2017 Jan,354.193548387097
"156","Delhi",2017 Feb,343.928571428571
"157","Delhi",2017 Mar,282.258064516129
"158","Delhi",2017 Apr,316.8
"159","Delhi",2017 May,315.41935483871
"160","Delhi",2017 Jun,144.066666666667
"161","Delhi",2017 Jul,67.1612903225806
"162","Delhi",2017 Aug,69.7096774193548
"163","Delhi",2017 Sep,114.666666666667
"164","Delhi",2017 Oct,284.161290322581
"165","Delhi",2017 Nov,406.733333333333
"166","Delhi",2017 Dec,337.129032258065
"167","Delhi",2018 Jan,349.741935483871
"168","Delhi",2018 Feb,289.178571428571
"169","Delhi",2018 Mar,234.129032258065
"170","Delhi",2018 Apr,245.533333333333
"171","Delhi",2018 May,235.322580645161
"172","Delhi",2018 Jun,224.366666666667
"173","Delhi",2018 Jul,112.41935483871
"174","Delhi",2018 Aug,122.064516129032
"175","Delhi",2018 Sep,121.933333333333
"176","Delhi",2018 Oct,290.41935483871
"177","Delhi",2018 Nov,367.066666666667
"178","Delhi",2018 Dec,400.387096774194
"179","Delhi",2019 Jan,365.741935483871
"180","Delhi",2019 Feb,258.178571428571
"181","Delhi",2019 Mar,197.354838709677
"182","Delhi",2019 Apr,219.4
"183","Delhi",2019 May,235.838709677419
"184","Delhi",2019 Jun,197.766666666667
"185","Delhi",2019 Jul,145.096774193548
"186","Delhi",2019 Aug,99.2903225806452
"187","Delhi",2019 Sep,106.533333333333
"188","Delhi",2019 Oct,251
"189","Delhi",2019 Nov,356.1
"190","Delhi",2019 Dec,353.903225806452
"191","Delhi",2020 Jan,308.451612903226
"192","Delhi",2020 Feb,262.137931034483
"193","Delhi",2020 Mar,135.838709677419
"194","Delhi",2020 Apr,113
"195","Delhi",2020 May,148.645161290323
"196","Delhi",2020 Jun,125.733333333333
"197","Delhi",2020 Jul,101
"198","Hyderabad",2015 Mar,120
"199","Hyderabad",2015 Apr,136.966666666667
"200","Hyderabad",2015 May,133.387096774194
"201","Hyderabad",2015 Jun,155.533333333333
"202","Hyderabad",2015 Jul,78.4838709677419
"203","Hyderabad",2015 Aug,132.935483870968
"204","Hyderabad",2015 Sep,170.1
"205","Hyderabad",2015 Oct,217.064516129032
"206","Hyderabad",2015 Nov,139.166666666667
"207","Hyderabad",2015 Dec,124.741935483871
"208","Hyderabad",2016 Jan,170.548387096774
"209","Hyderabad",2016 Feb,148.448275862069
"210","Hyderabad",2016 Mar,118.322580645161
"211","Hyderabad",2016 Apr,109.733333333333
"212","Hyderabad",2016 May,104.483870967742
"213","Hyderabad",2016 Jun,139.033333333333
"214","Hyderabad",2016 Jul,156.225806451613
"215","Hyderabad",2016 Aug,122.645161290323
"216","Hyderabad",2016 Sep,71.6666666666667
"217","Hyderabad",2016 Oct,91.7741935483871
"218","Hyderabad",2016 Nov,125.166666666667
"219","Hyderabad",2016 Dec,112.451612903226
"220","Hyderabad",2017 Jan,149.41935483871
"221","Hyderabad",2017 Feb,148.142857142857
"222","Hyderabad",2017 Mar,135
"223","Hyderabad",2017 Apr,148.166666666667
"224","Hyderabad",2017 May,113.193548387097
"225","Hyderabad",2017 Jun,74.1333333333333
"226","Hyderabad",2017 Jul,61.5806451612903
"227","Hyderabad",2017 Aug,64.4193548387097
"228","Hyderabad",2017 Sep,68.8
"229","Hyderabad",2017 Oct,121.387096774194
"230","Hyderabad",2017 Nov,120.366666666667
"231","Hyderabad",2017 Dec,143.741935483871
"232","Hyderabad",2018 Jan,143.096774193548
"233","Hyderabad",2018 Feb,112.357142857143
"234","Hyderabad",2018 Mar,113.064516129032
"235","Hyderabad",2018 Apr,96.2666666666667
"236","Hyderabad",2018 May,98.741935483871
"237","Hyderabad",2018 Jun,65.6
"238","Hyderabad",2018 Jul,54.258064516129
"239","Hyderabad",2018 Aug,54.0967741935484
"240","Hyderabad",2018 Sep,79.0333333333333
"241","Hyderabad",2018 Oct,110.064516129032
"242","Hyderabad",2018 Nov,110.966666666667
"243","Hyderabad",2018 Dec,133.322580645161
"244","Hyderabad",2019 Jan,133.290322580645
"245","Hyderabad",2019 Feb,113.25
"246","Hyderabad",2019 Mar,106.161290322581
"247","Hyderabad",2019 Apr,94.8
"248","Hyderabad",2019 May,113.41935483871
"249","Hyderabad",2019 Jun,64.6666666666667
"250","Hyderabad",2019 Jul,48.0967741935484
"251","Hyderabad",2019 Aug,57.258064516129
"252","Hyderabad",2019 Sep,49.9666666666667
"253","Hyderabad",2019 Oct,78.5161290322581
"254","Hyderabad",2019 Nov,137.966666666667
"255","Hyderabad",2019 Dec,131.322580645161
"256","Hyderabad",2020 Jan,104.548387096774
"257","Hyderabad",2020 Feb,94.9655172413793
"258","Hyderabad",2020 Mar,78.741935483871
"259","Hyderabad",2020 Apr,65
"260","Hyderabad",2020 May,79.3548387096774
"261","Hyderabad",2020 Jun,47.0666666666667
"262","Hyderabad",2020 Jul,48
"263","Lucknow",2015 Mar,264.272727272727
"264","Lucknow",2015 Apr,118.066666666667
"265","Lucknow",2015 May,137
"266","Lucknow",2015 Jun,149.666666666667
"267","Lucknow",2015 Jul,122.709677419355
"268","Lucknow",2015 Aug,105.516129032258
"269","Lucknow",2015 Sep,130.466666666667
"270","Lucknow",2015 Oct,240.225806451613
"271","Lucknow",2015 Nov,397.766666666667
"272","Lucknow",2015 Dec,388.064516129032
"273","Lucknow",2016 Jan,362.516129032258
"274","Lucknow",2016 Feb,322.344827586207
"275","Lucknow",2016 Mar,217.516129032258
"276","Lucknow",2016 Apr,238.633333333333
"277","Lucknow",2016 May,185.806451612903
"278","Lucknow",2016 Jun,153.066666666667
"279","Lucknow",2016 Jul,112.451612903226
"280","Lucknow",2016 Aug,90.6451612903226
"281","Lucknow",2016 Sep,105.7
"282","Lucknow",2016 Oct,245.032258064516
"283","Lucknow",2016 Nov,385.633333333333
"284","Lucknow",2016 Dec,389.322580645161
"285","Lucknow",2017 Jan,330.58064516129
"286","Lucknow",2017 Feb,296.392857142857
"287","Lucknow",2017 Mar,247.064516129032
"288","Lucknow",2017 Apr,249.5
"289","Lucknow",2017 May,252.225806451613
"290","Lucknow",2017 Jun,186.033333333333
"291","Lucknow",2017 Jul,77.2903225806452
"292","Lucknow",2017 Aug,96.4516129032258
"293","Lucknow",2017 Sep,105.866666666667
"294","Lucknow",2017 Oct,259.064516129032
"295","Lucknow",2017 Nov,383.133333333333
"296","Lucknow",2017 Dec,374.483870967742
"297","Lucknow",2018 Jan,377.967741935484
"298","Lucknow",2018 Feb,317.714285714286
"299","Lucknow",2018 Mar,236.483870967742
"300","Lucknow",2018 Apr,180.833333333333
"301","Lucknow",2018 May,255.645161290323
"302","Lucknow",2018 Jun,174.933333333333
"303","Lucknow",2018 Jul,97.4193548387097
"304","Lucknow",2018 Aug,100.032258064516
"305","Lucknow",2018 Sep,107.6
"306","Lucknow",2018 Oct,264.612903225806
"307","Lucknow",2018 Nov,351.6
"308","Lucknow",2018 Dec,344.677419354839
"309","Lucknow",2019 Jan,315.516129032258
"310","Lucknow",2019 Feb,243.071428571429
"311","Lucknow",2019 Mar,217.645161290323
"312","Lucknow",2019 Apr,217.7
"313","Lucknow",2019 May,184.096774193548
"314","Lucknow",2019 Jun,167.7
"315","Lucknow",2019 Jul,94.4193548387097
"316","Lucknow",2019 Aug,90.3225806451613
"317","Lucknow",2019 Sep,76.6333333333333
"318","Lucknow",2019 Oct,205.387096774194
"319","Lucknow",2019 Nov,329.366666666667
"320","Lucknow",2019 Dec,292.193548387097
"321","Lucknow",2020 Jan,272.645161290323
"322","Lucknow",2020 Feb,216.655172413793
"323","Lucknow",2020 Mar,134
"324","Lucknow",2020 Apr,106.733333333333
"325","Lucknow",2020 May,119.096774193548
"326","Lucknow",2020 Jun,96.5
"327","Lucknow",2020 Jul,76
